node_id,type,degree,indegree,outdegree,degree_centrality,degree_rank
76,normal,39,24,15,"{'type': 'normal', 'degree': 0.19597989949748745}",10.0
77,normal,27,14,13,"{'type': 'normal', 'degree': 0.135678391959799}",136.0
78,normal,28,13,15,"{'type': 'normal', 'degree': 0.1407035175879397}",125.0
79,normal,31,14,17,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
80,normal,41,19,22,"{'type': 'normal', 'degree': 0.20603015075376885}",5.0
81,normal,24,12,12,"{'type': 'normal', 'degree': 0.12060301507537688}",169.0
82,normal,37,13,24,"{'type': 'normal', 'degree': 0.18592964824120603}",17.0
83,normal,36,17,19,"{'type': 'normal', 'degree': 0.18090452261306533}",23.0
84,normal,24,13,11,"{'type': 'normal', 'degree': 0.12060301507537688}",169.0
85,normal,33,15,18,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
86,normal,21,10,11,"{'type': 'normal', 'degree': 0.10552763819095477}",183.0
87,normal,29,14,15,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
88,normal,31,12,19,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
89,normal,38,16,22,"{'type': 'normal', 'degree': 0.19095477386934673}",15.0
